sample_id,filedir,fragments
WS_wEMB13386878,/lustre/scratch126/cellgen/team205/lm25/regGen/data/whole_embryo/raw/WS_wEMB13386878/raw/,730872409
WS_wEMB13386879,/lustre/scratch126/cellgen/team205/lm25/regGen/data/whole_embryo/raw/WS_wEMB13386879/raw/,1118846819
WS_wEMB13386880,/lustre/scratch126/cellgen/team205/lm25/regGen/data/whole_embryo/raw/WS_wEMB13386880/raw/,394747451
WS_wEMB13386881,/lustre/scratch126/cellgen/team205/lm25/regGen/data/whole_embryo/raw/WS_wEMB13386881/raw/,382211758
WS_wEMB13386882,/lustre/scratch126/cellgen/team205/lm25/regGen/data/whole_embryo/raw/WS_wEMB13386882/raw/,399067386
